Metropolitan Statistical Area,Murder,Rape,Robbery,Assault,Burglary,Larceny,Car Theft
"Abilene, TX M.S.A.",3.1,48.9,72.7,298.3,1009.0,2459.8,148.5
"Akron, OH M.S.A.",3.7,40.9,105.1,155.0,947.7,2074.5,163.3
"Albany, GA M.S.A.",8.7,24.9,150.4,382.1,1417.8,2803.4,291.4
"Albany-Schenectady-Troy, NY M.S.A.",1.5,21.0,98.5,189.4,512.1,2076.2,105.4
"Albuquerque, NM M.S.A.",5.8,44.8,124.3,495.6,920.6,2586.2,389.4
"Alexandria, LA M.S.A.",5.8,23.1,132.3,476.7,1203.3,3176.3,213.3
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",3.5,20.3,93.6,110.9,432.2,1758.1,107.7
"Altoona, PA M.S.A.",0.8,38.0,49.8,155.0,425.4,1318.2,68.0
"Amarillo, TX M.S.A.",5.7,40.8,98.9,367.8,1137.2,3390.5,285.0
"Ames, IA M.S.A.",1.1,41.7,12.4,244.4,478.6,1966.1,83.3
"Anchorage, AK M.S.A.",4.2,85.9,148.5,574.4,416.1,2813.4,276.8
"Anderson, IN M.S.A.",2.3,33.4,70.6,99.5,848.1,2294.6,211.1
"Anderson, SC M.S.A.",5.3,36.4,75.9,468.4,1297.6,3041.7,368.4
"Ann Arbor, MI M.S.A.",1.4,43.2,69.8,224.0,659.7,1879.5,174.4
"Appleton, WI M.S.A.",0.0,21.4,13.8,120.5,378.5,1708.2,50.0
"Asheville, NC M.S.A.",1.9,21.8,59.9,146.1,749.6,1534.9,170.3
"Athens-Clarke County, GA M.S.A.",4.2,19.6,70.5,280.5,1018.0,2588.1,237.5
"Atlanta-Sandy Springs-Marietta, GA M.S.A.",6.1,20.9,149.7,237.1,957.0,2135.7,370.0
"Atlantic City-Hammonton, NJ M.S.A.",8.0,18.9,245.5,257.5,741.5,2685.7,123.1
"Augusta-Richmond County, GA-SC M.S.A.",10.2,37.4,156.6,208.7,1355.1,3037.7,422.5
"Austin-Round Rock-San Marcos, TX M.S.A.",3.4,24.7,84.0,215.8,754.3,2866.9,170.8
"Bakersfield-Delano, CA M.S.A.",9.0,19.9,148.4,415.7,1148.0,1931.6,633.6
"Baltimore-Towson, MD M.S.A.",10.3,23.6,214.4,437.0,649.5,2135.5,305.7
"Bangor, ME M.S.A.",2.0,12.6,27.2,26.6,573.3,2429.3,95.7
"Barnstable Town, MA M.S.A.",0.5,36.1,57.6,340.3,1116.6,1764.7,91.5
"Battle Creek, MI M.S.A.",4.5,75.3,109.6,508.3,1145.6,2411.1,146.8
"Bay City, MI M.S.A.",0.9,78.1,50.8,205.2,610.1,1776.6,85.7
"Beaumont-Port Arthur, TX M.S.A.",5.6,37.7,157.9,297.0,1156.9,2488.4,220.1
"Bellingham, WA M.S.A.",2.5,44.7,50.6,169.1,694.2,2372.7,130.8
"Bend, OR M.S.A.2",4.3,29.0,30.9,240.7,497.5,2360.2,116.0
"Billings, MT M.S.A.",1.9,19.7,28.6,167.9,652.7,2873.3,276.7
"Binghamton, NY M.S.A.",2.5,20.3,51.0,147.6,453.5,2012.6,40.6
"Bismarck, ND M.S.A.",1.8,33.2,17.0,176.5,219.5,1453.2,102.1
"Blacksburg-Christiansburg-Radford, VA M.S.A.",3.1,28.6,25.5,115.5,499.3,1952.6,83.2
"Bloomington, IN M.S.A.",2.1,29.4,48.6,175.1,742.2,2127.2,135.1
"Bloomington-Normal, IL M.S.A.2",0.6,45.3,74.5,250.4,592.1,1751.3,69.8
"Boise City-Nampa, ID M.S.A.",1.6,33.7,18.2,162.8,400.4,1587.3,79.2
"Boston-Cambridge-Quincy, MA-NH M.S.A.",3.5,22.6,102.5,277.5,458.5,1568.3,162.7
"Boston-Quincy, MA M.D.",5.8,26.9,163.0,369.5,496.0,1717.4,195.1
"Cambridge-Newton-Framingham, MA M.D.",1.3,17.1,61.6,216.1,413.9,1428.1,115.1
"Peabody, MA M.D.",2.9,21.3,71.8,269.4,518.0,1451.1,229.5
"Rockingham County-Strafford County, NH M.D.",1.4,24.7,26.6,92.0,342.0,1595.2,67.7
"Boulder, CO M.S.A.",2.3,18.9,23.5,153.1,387.6,1801.8,93.6
"Bowling Green, KY M.S.A.",0.0,39.3,49.1,64.6,649.5,2021.4,135.0
"Bremerton-Silverdale, WA M.S.A.",0.4,68.5,48.1,305.8,708.4,1880.7,157.3
"Bridgeport-Stamford-Norwalk, CT M.S.A.",3.8,16.0,110.6,152.1,370.9,1226.2,185.5
"Brownsville-Harlingen, TX M.S.A.",2.7,25.1,78.7,228.1,889.4,3548.9,162.6
"Brunswick, GA M.S.A.",5.9,25.6,149.7,387.1,1529.5,3596.8,176.3
"Buffalo-Niagara Falls, NY M.S.A.",6.1,25.9,174.3,277.5,743.3,2168.4,187.8
"Burlington, NC M.S.A.",5.9,15.1,63.0,322.7,1042.8,2632.6,154.8
"Canton-Massillon, OH M.S.A.",2.5,30.7,107.8,105.9,758.0,1675.0,121.3
"Cape Coral-Fort Myers, FL M.S.A.",4.5,22.6,100.2,258.7,820.6,1715.8,151.1
"Cape Girardeau-Jackson, MO-IL M.S.A.2",1.1,31.0,71.7,437.8,759.0,2839.0,121.0
"Carson City, NV M.S.A.",0.0,1.8,36.3,255.8,509.8,1393.3,152.4
"Casper, WY M.S.A.",3.9,12.9,31.1,139.8,662.8,2849.1,174.8
"Cedar Rapids, IA M.S.A.",0.8,22.2,49.9,120.0,573.8,1835.2,130.4
"Charleston-North Charleston-Summerville, SC M.S.A.",6.0,25.9,122.9,359.0,752.7,2550.3,275.9
"Charlottesville, VA M.S.A.",3.0,31.0,40.0,129.6,333.2,1833.1,109.1
"Chattanooga, TN-GA M.S.A.",4.6,26.2,119.6,372.3,938.7,2580.2,272.6
"Cheyenne, WY M.S.A.",0.0,44.6,25.0,129.5,366.9,2539.8,129.5
"Chico, CA M.S.A.",3.2,41.4,70.7,227.8,832.4,1582.4,259.3
"Cincinnati-Middletown, OH-KY-IN M.S.A.",4.2,32.4,158.0,119.6,811.7,2372.4,156.6
"Clarksville, TN-KY M.S.A.",5.9,37.9,68.4,295.3,847.9,1703.6,136.1
"Cleveland, TN M.S.A.",0.0,21.9,35.1,496.3,693.6,1948.4,145.6
"Cleveland-Elyria-Mentor, OH M.S.A.",4.9,32.1,205.4,173.3,896.0,1693.4,246.2
"Coeur d'Alene, ID M.S.A.",2.8,33.0,17.6,233.5,554.8,1834.6,92.1
"College Station-Bryan, TX M.S.A.",3.7,43.4,65.7,244.7,804.1,2715.9,130.1
"Colorado Springs, CO M.S.A.",3.7,64.8,91.0,302.9,688.9,2289.9,256.3
"Columbia, MO M.S.A.",2.4,28.1,82.5,295.3,454.9,2422.9,108.2
"Columbia, SC M.S.A.",5.3,36.3,121.5,553.9,966.7,2609.8,336.9
"Columbus, GA-AL M.S.A.",7.0,21.6,195.8,253.4,1533.2,3857.9,433.5
"Columbus, IN M.S.A.",0.0,35.2,28.7,78.1,550.9,2840.4,248.7
"Columbus, OH M.S.A.2",5.8,43.2,213.6,106.3,1167.8,2817.5,274.4
"Corpus Christi, TX M.S.A.",5.0,53.4,109.8,437.6,908.0,3604.5,140.6
"Corvallis, OR M.S.A.2",0.0,20.7,19.5,76.6,379.3,1742.1,71.7
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",1.7,29.6,63.7,275.3,652.2,2139.7,136.2
"Cumberland, MD-WV M.S.A.",5.0,32.9,54.8,299.8,770.9,2236.9,63.7
"Dallas-Fort Worth-Arlington, TX M.S.A.",4.7,28.2,131.0,208.6,926.5,2368.9,311.9
"Dallas-Plano-Irving, TX M.D.",4.7,26.3,141.9,184.1,907.2,2212.4,342.2
"Fort Worth-Arlington, TX M.D.",4.8,32.0,108.8,258.8,965.9,2689.1,249.9
"Dalton, GA M.S.A.",3.8,24.4,32.7,189.6,740.3,2120.3,191.9
"Danville, IL M.S.A.2",1.3,79.9,125.5,399.4,1430.3,2390.1,110.3
"Danville, VA M.S.A.",11.3,25.5,64.3,105.9,756.2,1916.9,129.5
"Davenport-Moline-Rock Island, IA-IL M.S.A.2",1.8,45.4,82.4,331.6,667.9,2133.8,123.8
"Dayton, OH M.S.A.",4.9,31.7,142.9,134.9,937.2,2242.5,180.8
"Decatur, AL M.S.A.",2.6,17.6,56.1,114.2,682.9,1817.3,130.5
"Decatur, IL M.S.A.2",3.8,28.2,128.7,355.0,1583.6,1717.0,131.5
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",3.4,29.0,98.2,413.1,961.0,2448.8,262.4
"Denver-Aurora-Broomfield, CO M.S.A.2",2.5,48.9,79.9,205.8,528.6,1951.5,291.4
"Des Moines-West Des Moines, IA M.S.A.",1.6,34.1,47.1,206.1,618.0,2048.4,182.2
"Detroit-Warren-Livonia, MI M.S.A.",9.1,34.8,180.7,410.9,806.0,1668.6,475.6
"Detroit-Livonia-Dearborn, MI M.D.",18.2,41.9,348.1,703.1,1267.1,2015.6,869.7
"Warren-Troy-Farmington Hills, MI M.D.",2.0,29.3,51.9,186.0,451.2,1401.5,172.3
"Dothan, AL M.S.A.",3.4,42.7,96.4,301.6,1004.7,2229.1,130.8
"Dover, DE M.S.A.",3.7,43.9,113.3,397.4,697.0,2539.7,173.3
"Dubuque, IA M.S.A.",0.0,24.4,38.2,360.3,588.2,1480.5,76.3
"Durham-Chapel Hill, NC M.S.A.",7.1,23.7,152.2,244.0,1232.8,2355.9,202.8
"Eau Claire, WI M.S.A.",4.3,27.3,17.4,102.9,457.6,1514.8,69.4
"El Centro, CA M.S.A.",1.8,15.3,62.0,285.7,1113.9,1841.1,452.2
"Elizabethtown, KY M.S.A.",0.0,21.1,33.4,144.8,345.8,1252.6,63.2
"Elkhart-Goshen, IN M.S.A.",1.0,27.1,77.3,9.9,740.8,1679.7,139.9
"Elmira, NY M.S.A.",4.6,12.6,44.8,171.1,458.2,1643.4,54.0
"El Paso, TX M.S.A.",0.9,29.4,70.1,351.7,357.1,2152.2,238.1
"Erie, PA M.S.A.",4.6,47.2,77.4,141.3,638.4,1766.5,80.2
"Evansville, IN-KY M.S.A.4",2.3,26.3,48.6,,520.8,2115.9,108.2
"Fairbanks, AK M.S.A.2",0.0,193.2,88.8,501.2,441.2,3331.0,281.9
"Fargo, ND-MN M.S.A.3",1.0,,22.1,147.3,358.0,1751.5,115.6
"Farmington, NM M.S.A.",3.2,74.8,27.6,540.3,505.7,1553.3,133.9
"Fayetteville, NC M.S.A.",6.3,21.2,168.8,282.5,1749.5,3182.8,289.1
"Fayetteville-Springdale-Rogers, AR-MO M.S.A.5",0.8,58.1,17.3,247.9,,1616.4,101.2
"Flagstaff, AZ M.S.A.",4.8,48.5,46.9,302.8,413.2,3015.0,82.6
"Flint, MI M.S.A.",13.8,53.7,221.5,537.9,1510.2,1884.5,292.1
"Florence, SC M.S.A.",10.4,30.3,151.8,497.0,1265.4,3296.7,261.4
"Fond du Lac, WI M.S.A.",1.0,30.9,12.9,129.5,365.6,1318.9,58.8
"Fort Collins-Loveland, CO M.S.A.",0.0,37.8,27.8,173.0,380.1,2085.8,113.4
"Fort Smith, AR-OK M.S.A.",4.7,41.5,51.0,321.8,783.4,2095.2,134.4
"Fort Wayne, IN M.S.A.2",6.0,28.7,81.3,95.2,627.9,1966.2,95.2
"Fresno, CA M.S.A.",6.8,19.5,147.6,363.0,980.0,2513.8,757.5
"Gadsden, AL M.S.A.",6.7,42.1,110.9,300.2,892.0,2823.1,192.2
"Gainesville, FL M.S.A.",4.9,50.1,114.7,453.7,903.6,2477.3,194.0
"Gainesville, GA M.S.A.",2.1,19.3,46.6,106.5,589.1,1664.6,162.1
"Glens Falls, NY M.S.A.",0.0,26.6,11.0,108.8,324.0,1188.8,35.2
"Goldsboro, NC M.S.A.",7.0,6.1,134.3,373.0,1675.6,2609.5,226.5
"Grand Forks, ND-MN M.S.A.3",1.0,,9.0,119.3,419.2,1669.7,107.3
"Grand Junction, CO M.S.A.",2.0,49.6,30.6,183.5,451.3,1999.0,128.5
"Grand Rapids-Wyoming, MI M.S.A.",2.2,46.7,91.7,249.2,754.9,1629.1,128.8
"Great Falls, MT M.S.A.",4.8,7.2,27.7,155.6,410.1,3026.1,174.9
"Greeley, CO M.S.A.",1.2,27.4,30.1,206.2,438.6,1630.9,132.6
"Green Bay, WI M.S.A.2",1.0,30.6,24.4,101.2,373.1,1400.6,62.8
"Greensboro-High Point, NC M.S.A.",4.3,16.7,137.3,225.4,1200.7,2605.2,208.0
"Greenville-Mauldin-Easley, SC M.S.A.",4.6,32.8,91.4,389.7,847.0,2352.1,238.2
"Gulfport-Biloxi, MS M.S.A.",5.0,35.2,91.0,90.6,1205.4,2878.0,226.9
